,Date,Ticker,Position,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Close,Dividends,High,Low,Open,Stock Splits,Volume,Daily Return,1-week MA Daily Return,Rolling Cumulative Volume,Daily P&L,Cumulative Daily P&L,Cumulative Daily Portfolio P&L,Yield
1,2018-02-08,AMZN,7000.0,Amazon.com Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,1018724.0,1994,1350.5,0.0,1433.75,1349.93994140625,1429.6800537109375,0.0,8578600.0,9.657214818700103,3.199386427452006,16455496405300.0,67600.50373090072,67600.50373090072,118800.52256766704,9.657214818700103
2,2018-02-08,MMM,38000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,204.26388549804688,0.0,213.8131219765775,204.04393639890014,213.67566252940273,0.0,3751300.0,1.7090535975866976,0.2925148239679645,16457200931200.0,64944.03670829451,1231247.3174474163,118800.52256766704,1.7090535975866976
3,2018-02-08,YUM,22000.0,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061.0,1997,72.68756866455078,0.0,77.26983621150535,72.2874480998684,74.31660760160835,0.0,4632800.0,0.07137788707249151,0.20758960924069303,16458489777100.0,1570.3135155948132,32259.493724565884,118800.52256766704,0.07137788707249151
0,2018-02-09,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,54.628028869628906,0.0,55.1249083681202,53.10872908598688,54.11204184569219,0.0,8028400.0,-0.7618448526167845,0.34026321770461554,16458814420500.0,-15236.89705233569,-315781.05097047664,117279.21309710157,-0.7618448526167845
1,2018-02-09,AMZN,7000.0,Amazon.com Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,1018724.0,1994,1339.5999755859375,0.0,1383.5,1265.9300537109375,1373.489990234375,0.0,14141500.0,9.378500224848528,3.1402190806287527,16459042181100.0,65649.50157393969,133250.0053048404,117279.21309710157,9.378500224848528
2,2018-02-09,MMM,38000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,206.38999938964844,0.0,207.9937580511842,199.94745887290668,205.8401336836556,0.0,4518600.0,1.6991343636997487,0.29659588935983106,16460903512500.0,64567.10582059045,1295814.4232680066,117279.21309710157,1.6991343636997487
3,2018-02-09,YUM,22000.0,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061.0,1997,75.55506134033203,0.0,76.29813103430875,72.81141771606862,73.63070154998665,0.0,5100400.0,0.10452285249577822,0.21324052491971274,16462252070500.0,2299.502754907121,34558.996479473004,117279.21309710157,0.10452285249577822
0,2018-02-12,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,54.85736083984375,0.0,55.40201645769222,54.35092756414542,55.13446735280755,0.0,8234200.0,-0.7652859808603132,0.3335462990772089,16462530425800.0,-15305.719617206263,-331086.7705876829,110192.21149670311,-0.7652859808603132
1,2018-02-12,AMZN,6000.0,Amazon.com Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,1018724.0,1994,1386.22998046875,0.0,1393.81005859375,1344.010009765625,1364.6700439453125,0.0,6738900.0,9.725572331583793,3.1904533064439855,16462690468900.0,58353.43398950276,191603.43929434314,110192.21149670311,9.725572331583793
2,2018-02-12,MMM,38000.0,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740.0,1902,210.0373992919922,0.0,211.12795741093979,207.20562309006885,208.4794651150667,0.0,3290400.0,1.72615853475582,0.3004370964500815,16464021507700.0,65594.02432072116,1361408.4475887278,110192.21149670311,1.72615853475582
3,2018-02-12,YUM,22000.0,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061.0,1997,74.373779296875,0.0,76.54583164312103,73.75455206212,75.49791254409476,0.0,3023800.0,0.07047603653115656,0.21114794880240773,16464948787500.0,1550.4728036854442,36109.46928315845,110192.21149670311,0.07047603653115656
0,2018-02-13,ABT,20000.0,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800.0,1888,55.077125549316406,0.0,55.2204574882634,54.28403211703558,54.59935727960328,0.0,5816600.0,-0.7646176150420003,0.3020014107706678,16465115252200.0,-15292.352300840006,-346379.1228885229,111898.09769659079,-0.7646176150420003
